"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","Run TestNG Suite","Alt+Shift+X, G","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Debug RWT Application","Alt+Shift+D, 3","In Windows"
"Navigate","Open Super Implementation","Ctrl+U","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Source","Mock Dependencies in Test Case...","Ctrl+Alt+Shift+M","Editing Java Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Views","Show View (Declaration)","Ctrl+Shift+I","In Windows"
"Git","Pull","Ctrl+T","In Windows"
"Edit","Select Enclosing Element","Ctrl+W","Editing Java Source"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Edit","Quick Fix","Alt+Enter","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Window","Activate Editor","Esc","In Windows"
"Navigate","Next Tab","Alt+Right","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Resume","F9","Debugging"
"Text Editing","Move Lines Down","Ctrl+Alt+Down","Editing Text"
"File","Save All","Ctrl+Shift+S","In Windows"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"PropertiesEditor","Show Unicode","Ctrl+I","Properties Editor"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Shift+Up","Editing Text"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Run/Debug","Debug RAP Application","Alt+Shift+D, R","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Navigate","Open Declaration","Ctrl+B","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Subtract","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Window","Exit Full Screen","Esc","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Source","Run Tests","Ctrl+R","Editing Java Source"
"Window","Full Screen","Ctrl+Alt+Z","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Restore Last Selection","Ctrl+Shift+W","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Move Lines Down","Alt+Shift+Down","Editing Text"
"Run/Debug","Run TestNG Test","Alt+Shift+X, N","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Refactor - Java","Extract Constant","Ctrl+Alt+C","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Override/Implement Methods","Ctrl+O","Editing Java Source"
"View","Zoom Out","Ctrl+-","In Windows"
"Navigate","Go to Line","Ctrl+G","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Next","F2","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Step Into","F7","Debugging"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Run RAP Application","Alt+Shift+X, R","In Windows"
"Text Editing","Duplicate Lines","Ctrl+D","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"File","Save","Ctrl+S","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Perspectives","Show Perspective (Plug-in Development)","Alt+Shift+J","In Windows"
"Uncategorized","Fonts Decrease","Ctrl+-","Editing Text"
"Edit","Redo","Ctrl+Shift+Z","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Refactor - Java","Extract Method","Ctrl+Alt+M","In Windows"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Last Edit Location","Ctrl+Shift+Backspace","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"MoreUnit","Jump to Test/Source","Ctrl+J","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Shift+F6","In Windows"
"Edit","Delete","Delete","In Windows"
"Window","Maximize Active View or Editor","Ctrl+Shift+F12","In Windows"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Window","Preferences","Ctrl+Alt+S","In Windows"
"Edit","Select Enclosing Element","Ctrl+W","Editing in Structured Text Editors"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"MoreUnit","Jump to Test/Source","Ctrl+J","In Windows"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+F8","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Run/Debug","Run RWT Application","Alt+Shift+X, 3","In Windows"
"Source","Create Test Method","Ctrl+U","Editing Java Source"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"File","New","Ctrl+N","In Windows"
"Text Editing","Collapse","Ctrl+-","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Forward History","Ctrl+Alt+Right","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Navigate","Quick Outline","Ctrl+F12","Editing Java Source"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Incremental Find","Alt+F3","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Navigate","Go to Previous Member","Alt+Up","Editing Java Source"
"PropertiesEditor","Toggle Comment","Ctrl+/","Properties Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","SWTBot Test","Alt+Shift+X, S","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Edit","Find Next","F3","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Source","Format","Ctrl+Alt+L","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"File","Refresh","F5","In Windows"
"Run/Debug","Debug","Shift+F9","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Source","Surround With Quick Menu","Ctrl+Alt+T","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Views","Show View (Breakpoints)","Ctrl+Shift+F8","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Text Editing","Delete Line","Ctrl+Y","Editing Text"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Source","Run Tests of Selected Member","Ctrl+Alt+Shift+R","Editing Java Source"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Show In...","Alt+F1","In Windows"
"Navigate","Open Type","Ctrl+N","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Collapse All","Ctrl+Shift+-","Editing Text"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Expand All","Ctrl+Shift+Numpad_Add","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Go to Matching Bracket","Ctrl+]","Editing Java Source"
"File","New menu","Alt+Insert","In Windows"
"Text Editing","Join Lines","Ctrl+Shift+J","Editing Text"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Debug TestNG Suite","Alt+Shift+D, G","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"MoreUnit","Jump to Test/Source","Ctrl+J","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Window","EditBox Select box","Alt+Z","In Windows"
"Run/Debug","Run to Line","Alt+F9","Debugging"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Run/Debug","Debug TestNG Test","Alt+Shift+D, N","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Step Return","Shift+F8","Debugging"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Run/Debug","Debug","Shift+F9","In Windows"
"Run/Debug","Terminate","Ctrl+F2","In Windows"
"Run/Debug","Inspect","Alt+F8","In Dialogs and Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Refactor - Java","Introduce Parameter Object","Ctrl+Alt+P","In Windows"
"Refactor - Java","Inline","Ctrl+Alt+N","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Navigate","Previous","Ctrl+,","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Run/Debug","Step Over","F8","Debugging"
"Source","Organize Imports","Ctrl+Alt+O","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Text Editing","Expand","Ctrl+=","Editing Text"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Run/Debug","Run","Shift+F10","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"MouseFeed","Last Action Invocation...","Ctrl+Shift+1","In Windows"
"File","Rename","F2","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Navigate","Backward History","Ctrl+Alt+Left","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Perspectives","Show Perspective (Team Synchronizing)","Alt+Shift+T","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Find Previous","Shift+F3","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Run/Debug","SWTBot Test","Alt+Shift+D, S","In Windows"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Views","Show View (Javadoc)","Ctrl+Q","In Windows"
"Views","Show View (Package Explorer)","Alt+1","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Go to Next Member","Alt+Down","Editing Java Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Refactor - Java","Extract Local Variable","Ctrl+Alt+V","In Windows"
"Source","Generate toString()","Alt+Insert, T","Editing Java Source"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Text Editing","Move Lines Up","Ctrl+Alt+Up","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Navigate","Open Resource","Ctrl+Shift+N","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Navigate","Previous Tab","Alt+Left","Editing Text"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Line End","End","Editing Text"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Generate hashCode() and equals()","Alt+Insert, H","Editing Java Source"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Expand All","Ctrl+Shift+=","Editing Text"
